Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4;14-7-6-3-2-12-15-8-9-11-13-1-10-5-4-14;101.65;7-2-14-10-8-4-15-12-1-13-3-6-11-5-9-7;96.97
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1;13-8-5-4-3-11-1-9-2-15-14-10-7-6-12-13;120.43;13-5-11-15-14-10-1-9-2-12-7-4-8-6-3-13;94.53
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;2;13-3-9-7-14-8-6-5-12-15-4-2-10-1-11-13;108.85;3-9-8-1-14-10-12-15-7-4-13-11-5-6-2-3;81.84
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3;2-1-9-5-11-4-6-8-13-3-7-10-14-12-15-2;116.23;8-1-11-5-13-3-9-15-12-7-14-4-2-6-10-8;78.63
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4;11-8-12-2-7-14-10-6-13-9-5-15-4-1-3-11;117.3;2-8-5-11-13-9-7-1-3-6-12-10-4-15-14-2;101.84
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1;11-8-12-6-2-14-4-10-3-9-5-7-15-1-13-11;97.03;14-4-10-3-9-5-7-6-12-2-15-8-1-11-13-14;93.41
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;2;6-12-15-7-5-3-13-9-10-8-11-1-2-4-14-6;115.53;5-13-11-1-4-10-3-8-12-9-2-6-14-7-15-5;112.79
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3;12-3-8-1-2-15-6-9-13-7-4-14-5-11-10-12;119.4;9-13-5-11-7-4-14-12-2-6-3-10-8-15-1-9;94.96
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4;8-15-14-2-9-12-10-13-1-11-5-3-6-7-4-8;102.32;8-14-9-12-2-15-10-13-1-11-5-3-6-7-4-8;94.8
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1;15-10-12-8-14-6-4-2-3-7-5-9-13-11-1-15;110.41;10-14-15-6-4-1-8-13-12-7-2-9-11-5-3-10;109.28
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2;12-14-4-7-9-3-8-11-1-13-15-10-5-2-6-12;110.33;4-7-6-9-3-5-8-11-1-13-15-10-14-12-2-4;88.7
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3;12-15-6-9-2-3-11-5-14-13-8-1-10-4-7-12;101.63;3-2-12-7-8-9-5-13-6-15-4-10-14-11-1-3;93.55
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4;11-1-8-10-7-5-14-6-4-13-9-3-15-12-2-11;118.33;14-15-3-5-9-8-12-6-2-4-7-10-1-11-13-14;101.91
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;1;6-15-14-11-3-1-8-10-7-12-4-2-9-5-13-6;103.97;15-2-6-3-13-1-8-10-7-12-4-9-11-5-14-15;86.9
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2;5-7-1-13-11-8-3-9-15-4-14-12-2-6-10-5;110.9;5-11-13-6-2-4-3-9-15-8-10-14-7-12-1-5;96.16
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3;4-7-8-13-1-11-14-15-6-3-10-2-9-5-12-4;107.15;13-3-6-2-7-4-10-12-15-9-14-11-8-1-5-13;89.64
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4;3-5-6-2-7-14-9-12-10-4-15-8-13-11-1-3;104.02;1-3-6-2-7-14-9-12-10-4-15-8-13-11-5-1;90.4
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1;11-13-2-10-4-14-15-8-1-7-12-3-9-6-5-11;94.85;11-13-2-10-4-14-15-8-1-7-12-3-9-6-5-11;94.85
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2;7-12-15-1-11-4-6-2-8-5-13-9-14-10-3-7;110.92;13-1-8-4-10-12-15-2-7-14-11-5-3-6-9-13;81.84
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3;10-2-15-12-4-7-3-11-1-14-8-13-5-6-9-10;101.92;2-15-7-4-11-1-13-10-12-14-8-5-9-3-6-2;83.3
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4;15-12-7-4-6-2-10-1-14-8-11-5-3-9-13-15;94.78;13-9-3-6-7-15-2-12-8-10-14-4-5-11-1-13;75.82
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;1;12-2-15-4-14-7-13-10-8-5-9-1-11-3-6-12;99.11;4-13-5-9-11-7-8-1-14-10-12-6-3-2-15-4;93.19
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;2;10-14-3-9-7-2-1-5-13-4-15-6-12-8-11-10;114.15;14-8-6-3-7-11-1-5-13-10-9-4-15-12-2-14;108.74
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3;14-10-4-8-7-9-11-1-13-2-15-12-6-3-5-14;102.4;14-10-4-8-7-9-11-1-13-2-15-12-6-3-5-14;102.4
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4;8-1-13-11-5-6-12-14-3-7-2-4-9-10-15-8;108.94;8-1-13-11-5-6-12-14-3-7-2-4-9-10-15-8;108.94
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1;15-2-10-8-13-9-4-14-1-7-12-3-6-11-5-15;114.02;15-2-10-8-13-9-4-14-1-7-12-3-6-11-5-15;114.02
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2;1-4-12-14-10-7-2-6-3-9-13-15-5-11-8-1;89.08;1-4-12-14-10-7-2-6-3-9-13-15-5-11-8-1;89.08
