Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-1;1;6-2-10-1-15-7-4-5-13-11-3-8-14-12-9-6;108.13;14-9-1-8-10-7-4-5-13-11-6-3-15-12-2-14;97.07
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-1;2;4-12-15-11-9-6-3-7-2-10-1-13-5-8-14-4;92.34;4-12-15-11-9-6-3-7-2-10-1-13-5-8-14-4;92.34
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-1;3;11-2-14-8-1-7-15-4-12-10-6-9-3-5-13-11;90.48;11-2-14-8-1-7-15-4-12-10-6-9-3-5-13-11;90.48
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-1;4;9-2-7-11-13-1-8-12-15-14-4-10-6-5-3-9;97.81;7-14-13-9-5-4-15-8-11-1-3-6-2-12-10-7;95.01
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-2;1;5-9-8-3-2-6-13-14-12-7-4-15-10-11-1-5;101.61;4-7-15-6-2-10-3-12-9-11-13-1-8-5-14-4;99.87
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-2;2;12-9-13-8-6-3-10-15-7-14-4-2-1-5-11-12;110.02;2-7-15-12-14-1-8-10-9-6-13-11-4-5-3-2;109.73
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-2;3;14-9-3-8-1-13-10-11-5-6-2-7-4-15-12-14;98.55;14-9-3-8-1-13-10-11-5-6-2-7-4-15-12-14;98.55
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-2;4;8-14-10-1-11-15-7-3-12-2-4-13-5-9-6-8;101.94;8-14-10-1-11-15-7-3-12-2-4-13-5-9-6-8;101.94
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-3;1;5-13-9-3-2-15-4-8-10-7-12-14-6-11-1-5;85.36;5-6-9-3-2-15-4-8-10-7-12-14-13-11-1-5;84.63
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-3;2;4-1-5-11-13-9-3-8-10-7-2-12-15-14-6-4;90.63;4-1-5-11-13-9-3-8-10-7-2-12-15-14-6-4;90.63
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-3;3;11-3-6-12-4-15-5-1-10-8-13-14-7-2-9-11;108.34;3-12-2-4-10-15-6-13-7-8-14-1-11-5-9-3;97.89
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP50 PC-3;4;1-5-11-7-14-6-9-3-13-4-12-15-2-10-8-1;102.87;1-5-11-7-14-6-9-3-13-4-12-15-2-10-8-1;102.87
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-1;1;2-4-7-8-1-11-9-14-15-10-3-13-5-6-12-2;100.03;13-1-2-12-15-14-7-9-3-6-11-10-4-8-5-13;98.11
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-1;2;13-5-7-4-15-8-10-14-3-11-1-9-6-12-2-13;103.41;4-14-11-13-9-1-8-5-7-10-6-3-2-12-15-4;91.37
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-1;3;4-15-8-12-3-9-6-5-13-1-10-11-14-2-7-4;105.68;1-11-9-12-4-8-7-2-14-15-10-6-3-5-13-1;93.79
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-1;4;6-12-4-15-9-1-8-10-14-7-5-13-3-11-2-6;107;2-6-3-13-14-10-8-7-1-11-5-4-15-12-9-2;103.43
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-2;1;7-1-8-3-11-5-9-15-2-6-12-4-10-14-13-7;111.12;12-14-13-1-11-5-9-15-2-6-3-4-8-10-7-12;89.34
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-2;2;3-13-1-8-14-5-4-12-15-7-10-9-11-2-6-3;103.26;6-4-9-5-3-2-10-13-11-1-8-14-15-12-7-6;94.26
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-2;3;2-6-13-11-12-15-9-4-7-3-5-1-10-14-8-2;115.6;1-9-12-10-7-15-14-4-3-8-2-6-11-5-13-1;103.33
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-2;4;5-3-2-12-6-4-7-15-10-8-9-14-13-1-11-5;96.06;11-13-10-2-12-3-6-1-8-15-14-4-7-9-5-11;93.55
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-3;1;11-13-12-2-3-4-10-15-14-7-6-5-8-9-1-11;106.02;11-1-12-2-3-4-10-15-14-7-6-5-8-9-13-11;101.56
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-3;2;8-5-2-3-4-12-7-6-15-14-10-9-11-1-13-8;104.65;5-11-1-12-6-7-14-13-9-8-10-4-15-2-3-5;100.81
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-3;3;1-12-14-7-15-4-8-11-5-3-9-2-6-10-13-1;99.95;10-12-14-7-15-4-8-11-5-3-9-2-6-13-1-10;92.06
CR-1 PN-30 G-1 PP-5 SM-1 MAX_STEP100 PC-3;4;3-6-12-1-15-7-10-2-4-9-13-5-11-14-8-3;106.47;10-3-5-13-9-15-8-11-1-6-7-12-2-14-4-10;102.64
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;1;15-7-10-4-12-5-13-8-1-14-3-6-11-9-2-15;99.57;15-7-10-4-12-5-13-8-1-14-3-6-11-9-2-15;99.57
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;2;6-2-1-11-15-7-8-14-12-10-4-5-13-3-9-6;100.63;5-11-1-2-15-7-8-14-12-10-4-6-9-13-3-5;98.82
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3;3-13-11-8-2-12-1-10-14-7-15-5-4-6-9-3;111.49;5-13-1-2-7-14-10-8-15-4-11-6-9-3-12-5;106.27
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4;6-2-9-4-15-5-13-1-10-8-11-7-14-12-3-6;107.19;8-13-9-15-2-14-1-11-5-3-6-7-12-4-10-8;90.29
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1;2-6-3-7-1-12-10-14-11-5-9-13-15-4-8-2;109.18;12-15-4-14-2-3-7-5-13-8-11-1-10-9-6-12;102.82
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2;10-13-11-5-6-2-12-9-3-1-7-4-14-8-15-10;99.23;10-15-7-13-1-8-4-9-5-11-14-6-3-2-12-10;96.02
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3;4-15-7-2-8-9-10-6-3-1-13-5-11-14-12-4;100.24;4-15-7-2-8-9-10-6-3-1-13-5-11-14-12-4;100.24
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4;1-5-7-2-12-10-8-13-14-9-3-6-4-15-11-1;105.13;1-5-7-2-12-10-8-13-14-9-3-6-4-15-11-1;105.13
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1;14-8-11-7-12-10-4-15-6-2-3-9-13-5-1-14;82.8;11-8-14-7-12-10-4-15-6-2-3-9-13-5-1-11;68.91
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2;7-2-6-4-1-12-9-13-11-5-8-14-3-10-15-7;107.67;7-2-6-4-1-12-9-13-11-5-8-14-3-10-15-7;107.67
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;3;10-3-6-9-5-1-7-8-11-13-14-12-15-2-4-10;97.75;10-3-6-9-5-1-7-8-11-13-14-12-15-2-4-10;97.75
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4;8-11-13-9-5-6-3-12-2-1-15-10-14-7-4-8;92.68;8-11-13-9-5-6-3-12-2-1-15-10-14-7-4-8;92.68
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1;15-2-6-3-13-10-4-7-12-14-9-5-1-11-8-15;90.73;15-2-6-3-13-10-4-7-12-14-9-5-1-11-8-15;90.73
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2;10-3-5-13-11-1-2-6-12-7-9-8-15-14-4-10;97.62;10-3-5-13-11-1-2-6-12-7-9-8-15-14-4-10;97.62
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3;10-6-7-12-2-14-3-8-11-5-13-9-1-15-4-10;101.91;15-14-7-4-2-6-3-8-11-5-13-9-1-10-12-15;83.9
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4;13-8-4-7-10-15-2-14-12-11-1-5-9-3-6-13;93.63;13-8-4-7-10-15-2-14-12-11-1-5-9-3-6-13;93.63
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1;3-6-15-10-12-2-4-1-14-8-7-13-11-5-9-3;91.16;3-6-15-10-12-2-4-1-14-8-7-13-11-5-9-3;91.16
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;2;12-15-6-10-14-11-13-9-7-2-8-1-5-4-3-12;114.56;1-13-15-4-10-14-7-3-6-12-11-5-9-2-8-1;96.07
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3;13-9-11-5-4-14-15-3-7-10-12-6-2-1-8-13;105.57;2-13-11-1-3-9-5-8-4-12-6-14-15-7-10-2;97.32
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4;10-8-12-9-15-3-6-2-4-7-1-13-11-5-14-10;101.17;14-7-12-9-15-3-6-2-4-10-11-13-5-1-8-14;86.41
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1;10-14-8-1-7-11-3-6-2-15-12-5-13-9-4-10;99.63;2-6-3-11-8-10-9-5-1-13-12-4-7-14-15-2;94.44
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;2;6-1-8-14-4-12-7-3-9-5-2-15-10-11-13-6;98.9;11-13-1-6-4-12-7-3-9-5-2-14-15-10-8-11;97.01
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3;4-13-11-1-9-15-3-5-6-2-10-12-8-14-7-4;113.01;7-13-11-1-9-14-10-4-12-2-3-5-8-6-15-7;101.2
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4;4-3-5-9-6-7-12-2-11-8-13-1-10-14-15-4;96.21;14-13-5-8-10-15-7-2-12-3-9-11-1-6-4-14;91.07
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1;5-3-7-14-9-12-6-10-15-4-2-8-11-1-13-5;106.62;12-1-5-11-13-2-4-14-10-8-9-6-3-7-15-12;89.32
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2;1-11-13-12-10-14-7-15-2-8-6-3-9-5-4-1;98.59;6-9-11-1-7-14-4-8-5-13-2-12-10-15-3-6;96.43
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3;8-1-3-9-12-7-4-10-2-6-5-11-13-15-14-8;90.14;8-1-3-9-12-7-4-10-2-6-5-11-13-15-14-8;90.14
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4;6-4-14-15-12-3-2-9-11-5-8-10-7-1-13-6;105.2;8-5-13-9-11-7-4-12-1-3-6-2-15-10-14-8;92.21
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;1;14-8-6-2-4-1-12-7-15-10-3-9-11-5-13-14;98.51;12-15-14-8-10-6-3-2-4-7-1-11-9-5-13-12;90.54
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2;5-11-1-7-8-10-14-15-13-9-6-4-2-12-3-5;103.95;10-5-8-1-13-11-12-2-3-6-9-4-7-15-14-10;86.88
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3;9-10-7-5-12-4-14-8-11-1-13-6-15-2-3-9;108.87;2-15-7-5-12-4-14-8-11-1-13-9-3-6-10-2;92.97
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4;9-3-6-10-15-14-8-2-12-11-13-1-7-4-5-9;98.24;9-3-6-12-1-11-13-8-14-7-2-4-10-15-5-9;84.6
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1;3-5-1-11-10-2-15-14-4-12-7-8-6-9-13-3;103.79;3-6-12-2-9-13-8-14-10-5-11-1-15-7-4-3;88.75
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2;2-15-7-5-4-10-8-14-9-6-1-11-13-3-12-2;108.8;15-14-3-6-2-12-4-9-5-13-1-11-8-7-10-15;81.73
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3;3-6-7-8-5-1-14-13-11-12-15-9-4-10-2-3;115.52;1-11-13-5-8-9-4-12-3-6-7-15-2-14-10-1;89.41
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4;13-5-4-15-14-7-6-2-10-8-1-12-11-9-3-13;104.73;9-5-13-12-4-14-15-7-6-3-2-10-1-8-11-9;86.82
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;1;9-14-12-2-13-5-11-8-1-15-7-10-4-6-3-9;87.25;9-14-12-2-13-5-11-8-1-15-7-10-4-6-3-9;87.25
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;2;6-11-13-3-12-8-4-1-14-10-5-9-7-15-2-6;114.68;6-11-13-3-12-8-4-1-14-10-5-9-7-15-2-6;114.68
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3;12-2-15-9-7-13-11-5-1-14-10-4-8-6-3-12;102.74;12-2-15-9-7-13-11-5-1-14-10-4-8-6-3-12;102.74
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4;5-9-11-6-13-1-8-15-10-4-3-2-12-7-14-5;102.33;5-9-11-6-13-1-8-15-10-4-3-2-12-7-14-5;102.33
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1;9-3-6-10-4-7-12-2-5-14-13-11-1-15-8-9;101.37;9-3-6-10-4-7-12-2-5-14-13-11-1-15-8-9;101.37
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2;4-9-3-2-13-8-14-1-11-5-10-7-6-15-12-4;104.72;4-9-3-2-13-8-14-1-11-5-10-7-6-15-12-4;104.72
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3;4-3-1-8-13-7-12-14-10-15-2-6-9-5-11-4;99.84;4-3-1-8-13-7-12-14-10-15-2-6-9-5-11-4;99.84
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4;4-15-12-7-3-6-10-14-13-11-2-5-9-8-1-4;103.67;4-15-12-7-3-6-10-14-13-11-2-5-9-8-1-4;103.67
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1;10-1-5-13-11-2-8-4-12-6-14-7-15-9-3-10;108.86;10-1-5-13-11-2-8-4-12-6-14-7-15-9-3-10;108.86
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2;13-2-15-4-14-9-3-8-11-1-6-7-12-10-5-13;107.6;13-2-15-4-14-9-3-8-11-1-6-7-12-10-5-13;107.6
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;3;15-5-14-4-10-2-12-9-1-8-13-11-6-3-7-15;105.56;15-5-14-4-10-2-12-9-1-8-13-11-6-3-7-15;105.56
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4;10-8-12-9-14-7-15-3-6-2-11-1-5-13-4-10;104.67;10-8-12-9-14-7-15-3-6-2-11-1-5-13-4-10;104.67
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1;13-6-15-2-9-8-10-14-4-7-12-3-5-1-11-13;92.89;3-13-11-1-5-8-10-14-4-15-9-12-6-2-7-3;92.18
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2;2-9-3-1-10-8-11-6-5-13-7-14-4-12-15-2;109.99;1-3-6-7-12-5-11-4-14-10-15-2-9-13-8-1;96.84
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3;10-15-14-11-13-1-2-3-9-5-8-6-7-12-4-10;92.78;12-6-3-11-13-1-5-9-14-2-8-4-10-15-7-12;88.83
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4;7-2-14-15-11-5-1-6-3-9-13-8-12-10-4-7;95.05;7-2-14-15-11-5-1-6-3-9-13-8-12-10-4-7;95.05
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1;4-3-6-9-5-13-11-7-2-1-12-8-15-14-10-4;100.61;7-15-10-4-9-14-8-11-1-13-5-12-6-2-3-7;95.55
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;2;4-14-12-8-1-10-15-13-5-11-9-6-3-2-7-4;85.65;4-14-12-8-1-10-15-13-5-11-9-6-3-2-7-4;85.65
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3;4-14-10-5-11-13-9-8-1-3-15-12-6-2-7-4;88.24;4-14-10-5-11-13-9-8-1-3-15-12-6-2-7-4;88.24
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4;13-9-3-6-1-11-2-12-15-10-4-14-7-5-8-13;95.73;3-5-13-8-1-11-2-12-15-10-4-14-7-9-6-3;82.92
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1;15-14-9-5-13-12-1-11-8-10-3-2-4-6-7-15;110.38;4-15-8-1-7-12-10-11-5-13-14-2-6-9-3-4;95.85
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;2;12-6-2-8-10-3-13-5-1-14-15-4-9-11-7-12;109.2;7-12-15-4-14-10-8-11-2-3-13-5-6-9-1-7;97.75
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3;13-15-12-2-8-7-10-4-5-9-6-3-14-11-1-13;106.86;13-5-8-4-2-12-15-10-11-9-6-3-7-14-1-13;91.35
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4;11-9-13-7-1-5-6-3-2-12-10-14-4-15-8-11;98.17;9-10-2-7-12-4-1-14-8-15-6-3-11-5-13-9;97.82
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1;2-11-5-14-1-7-6-3-9-13-8-10-4-15-12-2;95.16;2-7-12-15-4-10-9-1-5-11-13-8-14-3-6-2;78.27
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2;4-13-5-12-6-15-8-1-11-3-9-2-7-10-14-4;98.68;3-6-2-4-14-1-10-8-11-5-13-9-15-7-12-3;82.91
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3;14-4-15-7-12-6-8-3-5-9-13-2-11-1-10-14;105.04;7-4-15-2-12-6-9-14-1-8-5-13-11-10-3-7;97.54
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4;5-10-4-6-13-11-12-7-14-8-1-15-3-2-9-5;112.65;3-6-1-5-11-13-14-2-9-7-12-15-8-10-4-3;102.18
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;1;13-1-5-6-9-11-3-14-4-12-10-15-7-2-8-13;103.1;14-13-5-7-1-11-8-15-12-4-2-3-9-6-10-14;100.28
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2;1-14-8-10-13-5-12-7-15-11-9-3-6-2-4-1;98.64;14-5-13-11-3-6-12-7-15-4-10-8-1-9-2-14;82.35
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3;6-8-1-11-5-9-12-4-7-3-15-14-10-13-2-6;102.75;10-14-7-6-9-3-12-2-13-11-1-5-8-4-15-10;83.76
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4;5-3-7-15-4-1-11-14-10-12-6-2-13-9-8-5;107.04;2-3-13-9-5-1-11-14-10-12-15-7-4-8-6-2;87.85
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1;6-2-15-12-8-4-10-14-7-13-3-5-1-11-9-6;97.37;6-2-15-8-4-7-12-14-10-3-5-13-11-1-9-6;82.79
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2;8-10-5-4-15-14-12-2-9-3-6-7-11-13-1-8;95.55;2-10-8-4-15-14-7-12-1-13-5-11-9-3-6-2;74.54
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3;4-14-13-6-3-12-8-2-1-9-5-11-7-10-15-4;116.41;6-14-7-4-8-2-12-10-15-1-11-13-9-5-3-6;91.64
CR-1 PN-30 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4;5-3-6-2-12-14-10-4-8-13-1-11-9-15-7-5;89.13;5-3-6-2-12-14-10-4-8-13-1-11-9-15-7-5;89.13
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;1;12-8-5-9-2-7-14-10-6-3-15-4-11-13-1-12;102.69;12-8-5-9-2-7-14-10-6-3-15-4-11-13-1-12;102.69
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;2;2-12-3-15-8-14-7-6-10-4-11-1-13-5-9-2;100.15;2-12-3-15-8-14-7-6-10-4-11-1-13-5-9-2;100.15
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;3;11-10-5-13-14-7-6-9-1-3-2-15-12-4-8-11;113.41;11-10-5-13-14-7-6-9-1-3-2-15-12-4-8-11;113.41
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-1;4;7-15-4-6-3-9-8-5-1-10-14-2-11-13-12-7;96.16;7-15-4-6-3-9-8-5-1-10-14-2-11-13-12-7;96.16
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;1;1-3-10-11-9-6-2-5-13-4-14-7-15-12-8-1;110.15;1-3-10-11-9-6-2-5-13-4-14-7-15-12-8-1;110.15
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;2;14-10-15-3-9-2-7-1-11-6-12-13-5-8-4-14;104.9;14-10-15-3-9-2-7-1-11-6-12-13-5-8-4-14;104.9
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;3;10-15-7-2-6-3-4-5-13-11-9-8-12-1-14-10;96.2;10-15-7-2-6-3-4-5-13-11-9-8-12-1-14-10;96.2
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-2;4;4-10-7-15-2-12-5-13-3-9-1-11-14-8-6-4;98.46;4-10-7-15-2-12-5-13-3-9-1-11-14-8-6-4;98.46
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;1;8-12-7-10-11-5-13-2-3-6-9-4-1-14-15-8;107.41;11-9-13-5-6-3-4-8-1-15-12-2-10-14-7-11;98.93
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;2;11-5-2-14-7-13-1-8-4-15-10-3-6-12-9-11;106.42;11-5-2-14-7-13-1-8-4-15-10-3-6-12-9-11;106.42
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;3;7-5-13-11-1-9-12-6-8-14-15-4-2-10-3-7;109.27;7-5-13-11-1-9-12-6-8-14-15-4-2-10-3-7;109.27
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP10 PC-3;4;12-13-2-8-1-6-11-3-9-5-10-15-14-4-7-12;119.37;12-13-2-8-1-6-11-3-9-5-10-15-14-4-7-12;119.37
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;1;9-3-6-12-7-2-14-4-15-11-1-13-5-10-8-9;85.92;9-3-6-12-7-2-14-4-15-11-1-13-5-10-8-9;85.92
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;2;10-14-9-13-3-4-6-2-7-15-11-5-1-12-8-10;112.72;8-13-5-3-6-2-15-12-10-4-7-11-9-14-1-8;91.6
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;3;3-9-13-11-2-8-1-10-12-5-6-7-14-15-4-3;112.94;3-9-13-11-2-8-1-10-12-5-6-7-14-15-4-3;112.94
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-1;4;12-3-6-11-1-5-14-2-13-9-4-10-15-7-8-12;115.03;12-3-13-11-1-5-15-8-6-9-4-10-14-7-2-12;102.15
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;1;3-6-2-15-7-1-12-10-14-9-8-11-5-13-4-3;105.48;6-2-9-11-1-4-7-10-3-5-13-14-8-15-12-6;100.93
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;2;6-12-15-10-14-4-5-13-1-8-9-3-11-2-7-6;94.95;6-12-15-10-14-4-5-13-1-8-9-3-11-2-7-6;94.95
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;3;5-1-11-10-3-2-13-9-6-8-4-15-14-12-7-5;115.67;1-8-14-12-2-3-9-5-6-10-7-15-11-13-4-1;101.2
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-2;4;14-11-5-13-9-4-10-8-1-6-15-12-2-7-3-14;102.44;15-13-9-3-2-6-10-5-1-11-14-8-12-7-4-15;98.81
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;1;9-10-7-12-14-1-8-4-6-2-15-13-5-3-11-9;108.7;15-4-12-3-10-14-7-6-2-11-13-9-5-8-1-15;97.17
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;2;8-6-3-2-13-11-1-9-15-10-7-12-14-4-5-8;105.46;7-15-12-2-4-5-1-8-10-14-6-3-11-9-13-7;97.66
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;3;1-8-2-3-15-4-7-6-13-9-5-11-12-10-14-1;101.94;13-8-7-15-4-6-12-3-2-9-5-11-1-10-14-13;96.16
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP50 PC-3;4;6-3-5-11-12-9-13-1-15-7-14-10-2-4-8-6;106.63;12-10-3-5-1-8-15-4-7-9-11-13-14-6-2-12;101.74
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-1;1;13-9-14-10-6-3-5-1-15-4-7-2-12-11-8-13;101.68;13-8-14-10-6-3-5-1-15-4-7-2-12-9-11-13;87.47
CR-1 PN-30 G-1 PP-10 SM-1 MAX_STEP100 PC-1;2;3-7-2-14-1-11-9-12-15-4-10-8-13-5-6-3;91.47;3-7-2-14-1-11-9-12-15-4-10-8-13-5-6-3;91.47
